order_id,date,salesperson,region,product,units_sold,unit_price,revenue
ORD5696,2023-05-14,Priya Sharma,North,Product A,17,500,8500
ORD4732,2023-11-15,Ravi Kumar,East,Product C,4,1500,6000
ORD4854,2023-11-28,Rohit Das,West,Product A,20,1000,20000
ORD6174,2023-06-02,Rohit Das,West,Product A,8,1500,12000
ORD9400,2023-12-17,Ravi Kumar,East,Product A,1,1500,1500
ORD4037,2023-06-12,Ravi Kumar,North,Product A,12,1000,12000
ORD5714,2023-02-19,Aman Verma,East,Product A,3,2000,6000
ORD5045,2023-04-23,Sneha Iyer,East,Product B,20,1000,20000
ORD3483,2023-06-10,Aman Verma,North,Product B,6,2000,12000
ORD2763,2023-10-21,Priya Sharma,West,Product C,16,500,8000
ORD2330,2023-04-21,Sneha Iyer,West,Product C,9,2000,18000
ORD3346,2023-05-18,Priya Sharma,South,Product C,2,2000,4000
ORD1588,2023-01-30,Priya Sharma,North,Product B,16,1500,24000
ORD5314,2023-09-19,Aman Verma,East,Product B,6,2000,12000
ORD7557,2023-03-28,Priya Sharma,West,Product C,7,2000,14000
ORD7652,2023-07-10,Aman Verma,South,Product A,15,1500,22500
ORD7384,2023-12-07,Sneha Iyer,South,Product C,14,1000,14000
ORD9764,2023-05-21,Sneha Iyer,East,Product B,16,1000,16000
ORD3027,2023-05-24,Rohit Das,East,Product B,4,1000,4000
ORD2427,2023-05-29,Rohit Das,North,Product A,16,1500,24000
ORD5328,2023-05-22,Aman Verma,North,Product C,16,2000,32000
ORD6445,2023-12-12,Rohit Das,South,Product C,7,1000,7000
ORD4082,2023-05-10,Sneha Iyer,North,Product C,13,1500,19500
ORD3889,2023-04-10,Aman Verma,South,Product A,2,500,1000
ORD4927,2023-08-26,Priya Sharma,East,Product C,16,2000,32000
ORD3951,2023-07-28,Sneha Iyer,East,Product A,2,1000,2000
ORD3771,2023-11-06,Ravi Kumar,South,Product C,15,2000,30000
ORD7230,2023-01-20,Sneha Iyer,East,Product A,16,1000,16000
ORD8105,2023-12-02,Ravi Kumar,West,Product C,10,1000,10000
ORD7531,2023-10-01,Ravi Kumar,West,Product B,2,1000,2000
ORD5383,2023-10-23,Aman Verma,South,Product C,3,500,1500
